weekly_div,weekly_loy,weekly_reg,daily_div,daily_loy,daily_reg,age,gender,marital,education,working,OS1Class
0.93030104,0.684210526,0.96860578,0.949919722,0.473684211,0.728093592,40,Female,Married,College,Private Sector Employee,1
0.934864833,0.628571429,0.801641389,0.957924898,0.371428571,0.812656546,26,Male,Single,Middle School,Private Sector Employee,1
0.911468313,0.651515152,0.930558318,0.867186783,0.454545455,0.945999329,26,Male,Single,College,Private Sector Employee,1
0.990013967,0.494117647,0.968370035,0.905100834,0.4,0.985562453,30,Male,Single,PHD,Private Sector Employee,1
0.940451075,0.6,0.986666378,0.923496686,0.35,0.972906346,43,Male,Married,High School,Private Sector Employee,1
0.935069111,0.632653061,0.99084794,0.892450792,0.489795918,0.958305969,29,Female,Married,College,Private Sector Employee,0
0.968170611,0.569230769,0.838792016,0.949148538,0.369230769,0.971739696,53,Female,Divorced,College,Retiree & Non-Employed,1
0.961677344,0.602941176,0.974891723,0.946802672,0.308823529,0.953201429,41,Male,Married,College,Private Sector Employee,1
0.946367643,0.590909091,0.909930485,0.93988827,0.386363636,0.869107167,37,Male,Married,Middle School,Private Sector Employee,1
0.973619846,0.558823529,0.687483928,0.919043777,0.362745098,0.545771137,29,Male,Married,Master,Private Sector Employee,1
0.983287901,0.525423729,0.927566731,0.925308816,0.355932203,0.925324608,33,Male,Single,High School,Private Sector Employee,1
0.961193368,0.584615385,0.794581712,0.914630219,0.384615385,0.73878705,34,Female,Single,College,Public Servant,1
0.980580934,0.541666667,0.907198343,0.906377399,0.4,0.944982904,33,Male,Married,Master,Private Sector Employee,1
0.919207767,0.647058824,0.80015822,0.879935761,0.529411765,0.886683984,35,Female,Married,College,Public Servant,0
